,Title,Year,Price,Km,Distance,Description
0,Honda Jazz 1.4 LS,2006,3.999 €,142.000,59609 Anröchte (27 km),"Sonderausstattung: Metallic-Lackierung Weitere Ausstattung: Airbag Fahrer-/Beifahrerseite,..."
1,Honda jazz.1.4 Automatik neun TÜV,2005,3.800 €,161.753,42929 Wermelskirchen (114 km),Guten Tag zusammen Hier möchte ich mein Honda Jazz verkaufen den ich von einer guten Freundin...
2,Auto Honda,2008,4.700 €,80.000,40699 Erkrath (122 km),Reifen 1 Jahre alt Öl Getriebe wurde erneut Dach Kamera selbst installiert Sitzbezug Kunstleder...
3,WIR SUCHEN einen Honda Jazz 1.2,2011,7.000 €,Gesuch 80.000,51371 Leverkusen (132 km),"Mein Mann und ich suchen bevorzugt ein Automatik Fahrzeug. Kilometerstand nur bis 100.000 km, bis..."
4,"Honda Jazz 1.4 ES Sport Klima,Automatik",2005,4.500 € VB,156.800,53117 Auerberg (150 km),Verkauft wird unser zuverlässige Honda Jazz. Er befindet sich in einem gebrauchten Zustand und...
5,Honda jazz 1.4,2002,4.500 € VB,111.328,65199 Wiesbaden (192 km),.............
6,"Honda Jazz 1.4 Comfort Sportpaket, Automatik",2009,4.900 €,119.500,64331 Weiterstadt (210 km),"Zum Verkauf steht ein gepflegter Honda Jazz Comfort 1,4 Automatik mit nur 119.500 km Laufleistung..."
7,"Honda Jazz 1,4 ES Sport, aus Rentnerhand, TÜV 08/24",2007,4.990 €,56.510,14482 Potsdam (325 km),"Angeboten wird hier ein gepflegter Honda Jazz, mit normalen Gebrauchsspuren, aus Rentnerbesitz. Das..."
8,Honda jazz hybrid,2011,5.800 € VB,280.000,12687 Marzahn (360 km),Verkaufe mein Honda jazz hybrid Automatik Motor Getriebe lauft super Klima und alles funktioniert...
9,"Guten Tag ,das Auto zu verkaufe",2005,3.500 € VB,175.666,12689 Marzahn (360 km),Verkaufe meinen sehr gut erhaltenen Honda Jazz 1.4 ES (83PS) von 2005. Der TÜV ( bis 9 2023) wurde...
10,Honda Jazz 1.4 CVT ES,2005,4.999 €,43.000,89073 Ulm (394 km),"Scheckheft gepflegter Garagenwagen (EZ 9/2005) in sehr gutem Zustand, nur 43000km, leichte..."
