location,date,title,company
                                     33154 Salzkotten                                                (19 km)                                            ,"                                                                            Gestern, 18:28",Business Intelligence Analyst - Data Science / Visualisierung / K,                                            Jobsier.co - Dein kostenfreies Job Portal in Deutschland                                        
                                     33332 Gütersloh                                                (10 km)                                            ,                                                                            18.11.2022,Data Analyst (m/w/d) Power BI mit Remote-Anteil,                                            JobNinja - Mit einem Click zum neuen Job!                                        
                                     33154 Salzkotten                                                (19 km)                                            ,                                                                            15.11.2022,Data Analyst für Datenmodellierung und Kundenbetreuung (m/w/d) i,                                            Jobsier.co - Dein kostenfreies Job Portal in Deutschland                                        
                                     48155 Münster-​Hafen                                                (55 km)                                            ,"                                                                            Gestern, 16:44",(Junior) Data Analyst (m/w/d) Hotel (Münster),                                            my-perfect-job.de                                        
                                     50667 Köln Altstadt                                                (140 km)                                            ,"                                                                            Gestern, 08:02",Data Analyst/Data Consultant (m/w/d),                                            Stellenanzeigen.de GmbH & Co. KG                                        
                                     60311 Altstadt                                                (189 km)                                            ,"                                                                            Gestern, 14:03",Junior Business/Data Analyst (m/w/d) in 60311,                                            Jobsier.co - Dein kostenfreies Job Portal in Deutschland                                        
                                     65185 Wiesbaden                                                (193 km)                                            ,"                                                                            Gestern, 11:27",Data Analyst für Marketing in der Softwareentwicklung (m/w/d) in,                                            Jobsier.co - Dein kostenfreies Job Portal in Deutschland                                        
                                     55246 Mainz-​Kostheim                                                (199 km)                                            ,"                                                                            Gestern, 18:26",(Junior) Data Analyst (m/w/d) | Wiesbaden,                                            my-perfect-job.de                                        
                                     55246 Mainz-​Kostheim                                                (199 km)                                            ,"                                                                            Gestern, 18:26",(Junior) Data Analyst (m/w/d) | Wiesbaden,                                            my-perfect-job.de                                        
                                     20095 Hamburg Altstadt                                                (221 km)                                            ,"                                                                            Gestern, 18:26",Data Analyst (m/w/d) | Hamburg,                                            my-perfect-job.de                                        
                                     69115 Heidelberg                                                (267 km)                                            ,"                                                                            Gestern, 16:21",Data Analyst (m/w/d) (Voltimum),                                            HeyJobs                                        
                                     70173 Stuttgart-​Mitte                                                (340 km)                                            ,"                                                                            Gestern, 07:19",Data Analyst / Referent - Reporting & Performance Manage Stuttgar,                                            Gute-Jobs.de                                        
                                     80539 Schwabing-​Freimann                                                (465 km)                                            ,"                                                                            Gestern, 07:17",Data Analyst / Referent - Reporting & Performance Managem München,                                            Gute-Jobs.de                                        
